"License_Year_License_Number","Business_Name","Street_Address","City","State","Zip_Code","Business_Phone_Number","Classification_Code","Classification_Description","License_Expir_Date","Issue_Date","License_Fiscal_Year","License_Number","License_Status","License_Status_Description","Council_District","Council_District_Description","Full_Address","FID"
"2006-1447","EXPRESS & ABC CAB","1733 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 233-6000","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-31T04:00:00.000Z","2006","1447","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1733 S MICHIGAN ST, SOUTH BEND, IN 46613","16832"
"2006-1446","EXPRESS & ABC CAB","1733 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 233-6000","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-31T04:00:00.000Z","2006","1446","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1733 S MICHIGAN ST, SOUTH BEND, IN 46613","16833"
"2006-1445","EXPRESS & ABC CAB","1733 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 233-6000","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-31T04:00:00.000Z","2006","1445","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1733 S MICHIGAN ST, SOUTH BEND, IN 46613","16834"
"2006-1444","ASHLAND, INC","1817 W INDIANA AVE","SOUTH BEND","IN","46619","(574) 233-0033","ALARM","ALARM AGENT","2007-01-31T05:00:00.000Z","2006-10-10T04:00:00.000Z","2006","1444","RN","Renewed","SB6","COUNCIL DISTRICT 6","1817 W INDIANA AVE, SOUTH BEND, IN 46619","16835"
"2006-1442","UNIVERSITY OUTFITTERS","2027 SOUTH BEND AVE","SOUTH BEND","IN","466375642","(574) 243-4197","OPARPV","OPEN AIR VENDORS PRIVATE","2007-01-31T05:00:00.000Z","2006-08-30T04:00:00.000Z","2006","1442","IN","Incative and no longer licensed","","","2027 SOUTH BEND AVE, SOUTH BEND, IN 466375642","16837"
"2006-1441","CHECKER CAB OF NORTHERN INDIAN","1635 N IRONWOOD DR","SOUTH BEND","IN","46615","(574) 288-7777","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-30T04:00:00.000Z","2006","1441","AC","Active and Licensed","SB4","COUNCIL DISTRICT 4","1635 N IRONWOOD DR, SOUTH BEND, IN 46615","16838"
"2006-1440","CHECKER CAB OF NORTHERN INDIAN","1635 N IRONWOOD DR","SOUTH BEND","IN","46615","(574) 288-7777","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-30T04:00:00.000Z","2006","1440","AC","Active and Licensed","SB4","COUNCIL DISTRICT 4","1635 N IRONWOOD DR, SOUTH BEND, IN 46615","16839"
"2006-1439","SEAN O'CASEY'S","123 N DR MARTIN LUTHER KING JR","SOUTH BEND","IN","46601","(574) 234-2000","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-10-02T04:00:00.000Z","2006","1439","RN","Renewed","SB2","COUNCIL DISTRICT 2","123 N DR MARTIN LUTHER KING JR, SOUTH BEND, IN 46601","16840"
"2006-1438","ANDREWS, SHAWN X","1301 N MICHIGAN ST","SOUTH BEND","IN","46619","(574) 229-6396","TAXID","TAXI DRIVER","2007-06-01T04:00:00.000Z","2006-08-29T04:00:00.000Z","2006","1438","IR","In Review","SB4","COUNCIL DISTRICT 4","1301 N MICHIGAN ST, SOUTH BEND, IN 46619","16841"
"2006-1436","CUSHING MANOR BED & BREAKFAST","508 W WASHINGTON ST","SOUTH BEND","IN","46601","(574) 288-1990","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1436","RN","Renewed","SB2","COUNCIL DISTRICT 2","508 W WASHINGTON ST, SOUTH BEND, IN 46601","16843"
"2006-1435","MODERN CAB COMPANY","1843 COMMERCE DR","SOUTH BEND","IN","46628","(574) 400-9621","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-29T04:00:00.000Z","2006","1435","AC","Active and Licensed","SB1","COUNCIL DISTRICT 1","1843 COMMERCE DR, SOUTH BEND, IN 46628","16844"
"2006-498","FIRESTONE COMPLETE AUTO CARE","4921 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 288-7800","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","498","RN","Renewed","SB2","COUNCIL DISTRICT 2","4921 W WESTERN AVE, SOUTH BEND, IN 46601","16845"
"2006-1434","CHECKER CAB OF NORTHERN INDIAN","1635 N IRONWOOD DR","SOUTH BEND","IN","46615","(574) 288-7777","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-23T04:00:00.000Z","2006","1434","AC","Active and Licensed","SB4","COUNCIL DISTRICT 4","1635 N IRONWOOD DR, SOUTH BEND, IN 46615","16846"
"2006-1433","RICO'S FILLING STA. & GRILLE","6301 US 31 S","SOUTH BEND","IN","46614","(574) 299-8900","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-09-20T04:00:00.000Z","2006","1433","IN","Incative and no longer licensed","","","6301 US 31 S, SOUTH BEND, IN 46614","16847"
"2006-1432","CHECKER CAB OF NORTHERN INDIAN","1635 N IRONWOOD DR","SOUTH BEND","IN","46615","(574) 288-7777","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-23T04:00:00.000Z","2006","1432","AC","Active and Licensed","SB4","COUNCIL DISTRICT 4","1635 N IRONWOOD DR, SOUTH BEND, IN 46615","16848"
"2006-1431","DOMINIC'S PIZZERIA","1640 SOUTH BEND AVE","SOUTH BEND","IN","46617","(574) 289-0626","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2007-08-28T04:00:00.000Z","2006","1431","RN","Renewed","SB4","COUNCIL DISTRICT 4","1640 SOUTH BEND AVE, SOUTH BEND, IN 46617","16849"
"2006-1430","ALL AMERICAN NEWS STAND","101 N MICHIGAN ST","SOUTH BEND","IN","46601","(574) 968-1531","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-08-21T04:00:00.000Z","2006","1430","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","101 N MICHIGAN ST, SOUTH BEND, IN 46601","16850"
"2006-1429","JENNY'S BAKERY","740 S WALNUT ST","SOUTH BEND","IN","46619","(574) 283-0211","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-09-27T04:00:00.000Z","2006","1429","RN","Renewed","SB6","COUNCIL DISTRICT 6","740 S WALNUT ST, SOUTH BEND, IN 46619","16851"
"2006-1428","DOC'S DOGS","50525 FERNWOOD DR","SOUTH BEND","IN","46628","(574) 993-5466","OPNAIR","OPEN AIR VENDORS PUBLIC","2007-01-31T05:00:00.000Z","2006-09-13T04:00:00.000Z","2006","1428","IN","Incative and no longer licensed","","","50525 FERNWOOD DR, SOUTH BEND, IN 46628","16852"
"2006-1427","CHECKER AUTOMOTIVE, LLC","506 N OLIVE ST","SOUTH BEND","IN","46628","(574) 234-7777","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-08-15T04:00:00.000Z","2006","1427","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","506 N OLIVE ST, SOUTH BEND, IN 46628","16853"
"2006-1531","HOOSIER TAP & GRILLE","718 W INDIANA AVE","SOUTH BEND","IN","46613","(574) 289-4318","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-11-20T05:00:00.000Z","2006","1531","PP","Payment Pending","SB3","COUNCIL DISTRICT 3","718 W INDIANA AVE, SOUTH BEND, IN 46613","16854"
"2006-372","BOB'S PUB/RETO, INC","1406 PORTAGE AVE","SOUTH BEND","IN","46616","(574) 233-0635","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","372","RN","Renewed","SB1","COUNCIL DISTRICT 1","1406 PORTAGE AVE, SOUTH BEND, IN 46616","16855"
"2006-548","KC TREE, INC","10880 MCKINLEY HWY","OSCEOLA","IN","46561","(574) 674-7722","ARBOR","ARBORIST/TREE SERVICE","2007-01-31T05:00:00.000Z","2006-03-21T05:00:00.000Z","2006","548","RN","Renewed","","","10880 MCKINLEY HWY, OSCEOLA, IN 46561","16856"
"2006-1426","SUZAN MARIE VAN WYNSBERGLE","53400 STONERIDGE ST","","",NA,"(574) 243-1373","MSGTEC","MASSAGE THERAPY","2007-01-31T05:00:00.000Z","2006-08-15T04:00:00.000Z","2006","1426","RN","Renewed","","","53400 STONERIDGE ST, ,  ","16857"
"2006-446","RONALD A MORGAN","53192 TWYCKENHAM DR","SOUTH BEND","IN","46637","(574) 273-1584","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","446","IN","Incative and no longer licensed","","","53192 TWYCKENHAM DR, SOUTH BEND, IN 46637","16858"
"2006-445","E H MC NEASE","421 S MAIN ST","SOUTH BEND","IN","46601","(574) 233-7394","PARK","PUBLIC PARKING FACILITY","2007-01-31T05:00:00.000Z","2006-03-01T05:00:00.000Z","2006","445","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","421 S MAIN ST, SOUTH BEND, IN 46601","16859"
"2006-444","E H MC NEASE","418 S MAIN ST","","",NA,"(574) 288-4148","PARK","PUBLIC PARKING FACILITY","2007-01-31T05:00:00.000Z","2006-03-01T05:00:00.000Z","2006","444","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","418 S MAIN ST, ,  ","16860"
"2006-443","SEAN CONLEY","19574 SHERWOOD AVE","SOUTH BEND","IN","46637","(574) 273-0942","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-10T05:00:00.000Z","2006","443","IN","Incative and no longer licensed","","","19574 SHERWOOD AVE, SOUTH BEND, IN 46637","16861"
"2006-442","BRIAN MALKOVSKY","3226 SANDWOOD DR","SOUTH BEND","IN","46628","(574) 273-2466","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-09T05:00:00.000Z","2006","442","IN","Incative and no longer licensed","SB1","COUNCIL DISTRICT 1","3226 SANDWOOD DR, SOUTH BEND, IN 46628","16862"
"2006-441","RENITA'S REUSE IT SHOP","1631 LINDEN AVE","SOUTH BEND","IN","46628","(574) 289-2647","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-03-22T05:00:00.000Z","2006","441","RN","Renewed","SB2","COUNCIL DISTRICT 2","1631 LINDEN AVE, SOUTH BEND, IN 46628","16863"
"2006-440","GERT'S CLOSET","2709 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 233-8001","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-01-24T05:00:00.000Z","2006","440","RN","Renewed","SB3","COUNCIL DISTRICT 3","2709 MISHAWAKA AVE, SOUTH BEND, IN 46615","16864"
"2006-439","NUNEMAKER'S COIN & JEWELRY","2516 LINCOLN WAY W","SOUTH BEND","IN","46628","(574) 288-7464","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","439","RN","Renewed","","","2516 LINCOLN WAY W, SOUTH BEND, IN 46628","16865"
"2006-438","NUNEMAKER'S COIN & JEWELRY","2516 LINCOLN WAY W","SOUTH BEND","IN","46628","(574) 288-7464","PRECM","PRECIOUS METAL DEALERS","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","438","RN","Renewed","","","2516 LINCOLN WAY W, SOUTH BEND, IN 46628","16866"
"2006-435","WALT TEMPLE TREE SERVICE","1702 LINCOLN WAY W","SOUTH BEND","IN","466282618","(574) 287-4387","ARBOR","ARBORIST/TREE SERVICE","2007-01-31T05:00:00.000Z","2006-03-21T05:00:00.000Z","2006","435","RN","Renewed","","","1702 LINCOLN WAY W, SOUTH BEND, IN 466282618","16869"
"2006-433","INDIANA SECURITY SYSTEMS","730 S BYRKIT ST","MISHAWAKA","IN","46544","(574) 252-5276","ALARM","ALARM AGENT","2007-01-31T05:00:00.000Z","2006-01-26T05:00:00.000Z","2006","433","RN","Renewed","","","730 S BYRKIT ST, MISHAWAKA, IN 46544","16871"
"2006-432","ADULT LITTLE DENMARK","3002 W WESTERN AVE","SOUTH BEND","IN","46613","(574) 233-9538","ADULT","ADULT BUSINESS","2007-01-31T05:00:00.000Z","2006-04-07T04:00:00.000Z","2006","432","RN","Renewed","SB6","COUNCIL DISTRICT 6","3002 W WESTERN AVE, SOUTH BEND, IN 46613","16872"
"2006-431","S.B. FIREFIGHTERS ASSOC","904 W 4TH ST","MISHAWAKA","IN","46544","(574) 233-2540","CHAR","CHARITABLE SOLICITATIONS","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","431","RN","Renewed","","","904 W 4TH ST, MISHAWAKA, IN 46544","16873"
"2006-429","GREATER HOLY TEMPLE C.O.G.I.C.","710 NAPOLEON ST","SOUTH BEND","IN","46617","(574) 234-2351","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-16T04:00:00.000Z","2006","429","RN","Renewed","SB4","COUNCIL DISTRICT 4","710 NAPOLEON ST, SOUTH BEND, IN 46617","16875"
"2006-428","DEER RUN CHURCH OF CHRIST","2730 S IRONWOOD DR","SOUTH BEND","IN","46614","(574) 289-3338","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-16T04:00:00.000Z","2006","428","RN","Renewed","SB5","COUNCIL DISTRICT 5","2730 S IRONWOOD DR, SOUTH BEND, IN 46614","16876"
"2006-427","7-ELEVEN #30171  DO NOT USE!!","4106 LINCOLN WAY W","SOUTH BEND","IN","46628","(574) 233-1621","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","427","RN","Renewed","","","4106 LINCOLN WAY W, SOUTH BEND, IN 46628","16877"
"2006-426","AMERICAN EAGLE SECURITY ALARM","22651 BRICK RD","SOUTH BEND","IN","46628","(574) 271-0331","ALARM","ALARM AGENT","2007-01-31T05:00:00.000Z","2006-01-24T05:00:00.000Z","2006","426","1N","1st Renewal Notice","","","22651 BRICK RD, SOUTH BEND, IN 46628","16878"
"2006-425","OSCAR'S BILLIARD CLUB","1902 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 277-6651","POOL","POOL HALLS","2007-01-31T05:00:00.000Z","2006-04-10T04:00:00.000Z","2006","425","RN","Renewed","","","1902 SOUTH BEND AVE, SOUTH BEND, IN 46637","16879"
"2006-424","WOODEN INDIAN MOTEL","1631 LINCOLN WAY E","SOUTH BEND","IN","466133418","(574) 234-9155","HOTEL","HOTEL/MOTEL","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","424","RN","Renewed","","","1631 LINCOLN WAY E, SOUTH BEND, IN 466133418","16880"
"2006-422","FLOYD'S BODY SHOP","3105 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 287-4945","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-08T05:00:00.000Z","2006","422","RN","Renewed","SB6","COUNCIL DISTRICT 6","3105 W SAMPLE ST, SOUTH BEND, IN 46619","16881"
"2006-421","RED'S WORLDWIDE, LLC","1072 LINCOLN WAY E","SOUTH BEND","IN","46601","(574) 968-0619","PRECM","PRECIOUS METAL DEALERS","2007-01-31T05:00:00.000Z","2006-01-31T05:00:00.000Z","2006","421","RN","Renewed","","","1072 LINCOLN WAY E, SOUTH BEND, IN 46601","16882"
"2006-420","RED'S WORLDWIDE, LLC","1072 LINCOLN WAY E","SOUTH BEND","IN","46601","(574) 968-0619","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-01-31T05:00:00.000Z","2006","420","RN","Renewed","","","1072 LINCOLN WAY E, SOUTH BEND, IN 46601","16883"
"2006-419","MARY ANN SHEETS","107 W NORTH SHORE DR","SOUTH BEND","IN","46617","(574) 288-1632","MSGTEC","MASSAGE THERAPY","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","419","RN","Renewed","SB4","COUNCIL DISTRICT 4","107 W NORTH SHORE DR, SOUTH BEND, IN 46617","16884"
"2006-418","PAUL'S COIN & SPORTSCARDS","2620 S MICHIGAN ST","SOUTH BEND","IN","46614","(574) 233-8540","PRECM","PRECIOUS METAL DEALERS","2007-01-31T05:00:00.000Z","2006-03-20T05:00:00.000Z","2006","418","RN","Renewed","SB5","COUNCIL DISTRICT 5","2620 S MICHIGAN ST, SOUTH BEND, IN 46614","16885"
"2006-417","ALICIA ANN BOYKIN","1 OUT OF AREA AVE","SOUTH BEND","IN","46601","(800) 244-1672","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-12T05:00:00.000Z","2006","417","IN","Incative and no longer licensed","","","1 OUT OF AREA AVE, SOUTH BEND, IN 46601","16886"
"2006-416","CANDACE L MACKENZIE","1 OUT OF AREA AVE","SOUTH BEND","IN","46601","(800) 244-1672","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-12T05:00:00.000Z","2006","416","IN","Incative and no longer licensed","","","1 OUT OF AREA AVE, SOUTH BEND, IN 46601","16887"
"2006-415","EARNEST LEE EASTON ASSOCIATES","506 S ALBERT AVE","SOUTH BEND","IN","46619","(574) 239-6578","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-26T05:00:00.000Z","2006","415","TR","Transferred","SB6","COUNCIL DISTRICT 6","506 S ALBERT AVE, SOUTH BEND, IN 46619","16888"
"2006-1530","BIG ED'S AND ANGIE'S","2227 FRANKLIN ST","SOUTH BEND","IN","46613","(574) 232-3444","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-11-20T05:00:00.000Z","2006","1530","RN","Renewed","SB6","COUNCIL DISTRICT 6","2227 FRANKLIN ST, SOUTH BEND, IN 46613","16889"
"2006-547","HOPE MINISTRIES","432 S LAFAYETTE BLVD","SOUTH BEND","IN","46601","(574) 288-4842","HOTEL","HOTEL/MOTEL","2007-01-31T05:00:00.000Z","2006-08-02T04:00:00.000Z","2006","547","RN","Renewed","SB2","COUNCIL DISTRICT 2","432 S LAFAYETTE BLVD, SOUTH BEND, IN 46601","16890"
"2006-1425","MODERN CAB COMPANY","1843 COMMERCE DR","SOUTH BEND","IN","46628","(574) 400-9621","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-08-15T04:00:00.000Z","2006","1425","AC","Active and Licensed","SB1","COUNCIL DISTRICT 1","1843 COMMERCE DR, SOUTH BEND, IN 46628","16891"
"2006-414","MORRIS PARK COUNTRY CLUB","2200 MCKINLEY AVE","SOUTH BEND","IN","46615","(574) 233-9474","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-07T05:00:00.000Z","2006","414","RN","Renewed","SB4","COUNCIL DISTRICT 4","2200 MCKINLEY AVE, SOUTH BEND, IN 46615","16892"
"2006-413","LINEBACKER LOUNGE","1631 SOUTH BEND AVE","SOUTH BEND","IN","46617","(574) 289-0186","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","413","RN","Renewed","SB4","COUNCIL DISTRICT 4","1631 SOUTH BEND AVE, SOUTH BEND, IN 46617","16893"
"2006-412","HENSELL'S OAKEN BUCKET","1212 S IRONWOOD DR","SOUTH BEND","IN","46615","(574) 289-1616","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","412","RN","Renewed","SB3","COUNCIL DISTRICT 3","1212 S IRONWOOD DR, SOUTH BEND, IN 46615","16894"
"2006-411","RUSSELL AUTOMOTIVE","1510 E CALVERT ST","SOUTH BEND","IN","46613","(574) 287-2826","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-10-30T05:00:00.000Z","2006","411","IN","Incative and no longer licensed","SB5","COUNCIL DISTRICT 5","1510 E CALVERT ST, SOUTH BEND, IN 46613","16895"
"2006-410","RHINO LININGS","3275 ELWOOD AVE","","",NA,"(574) 287-1010","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","410","IN","Incative and no longer licensed","SB1","COUNCIL DISTRICT 1","3275 ELWOOD AVE, ,  ","16896"
"2006-409","PREFERRED COLLISION REPAIR","1134 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 233-2533","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-14T05:00:00.000Z","2006","409","RN","Renewed","SB3","COUNCIL DISTRICT 3","1134 MISHAWAKA AVE, SOUTH BEND, IN 46615","16897"
"2006-408","PEQUENO AUTO SERVICE","4014 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 232-7313","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","408","RN","Renewed","SB6","COUNCIL DISTRICT 6","4014 W WESTERN AVE, SOUTH BEND, IN 46619","16898"
"2006-407","FRED'S TRANSMISSION & CLUTCH","507 W WESTERN AVE","SOUTH BEND","IN","46616","(574) 232-0563","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","407","RN","Renewed","SB2","COUNCIL DISTRICT 2","507 W WESTERN AVE, SOUTH BEND, IN 46616","16899"
"2006-406","DEVREESE ENTERPRISES","1314 PORTAGE AVE","SOUTH BEND","IN","46615","(574) 288-0822","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","406","RN","Renewed","SB1","COUNCIL DISTRICT 1","1314 PORTAGE AVE, SOUTH BEND, IN 46615","16900"
"2006-404","HARRISON FURNITURE","1609 MIAMI ST","SOUTH BEND","IN","46613","(574) 282-2747","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-02-08T05:00:00.000Z","2006","404","RN","Renewed","SB3","COUNCIL DISTRICT 3","1609 MIAMI ST, SOUTH BEND, IN 46613","16902"
"2006-403","INDOOR GARAGE SALE","1201 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 289-5087","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-02-15T05:00:00.000Z","2006","403","RN","Renewed","SB2","COUNCIL DISTRICT 2","1201 W WESTERN AVE, SOUTH BEND, IN 46601","16903"
"2006-402","PET SUPPLIES PLUS","2202 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 273-2292","PETS","PET SHOPS","2007-01-31T05:00:00.000Z","2006-02-02T05:00:00.000Z","2006","402","RN","Renewed","SB4","COUNCIL DISTRICT 4","2202 SOUTH BEND AVE, SOUTH BEND, IN 46637","16904"
"2006-400","ROMANTIX ADULT EMPORIUM","2709 2715 S MAIN ST","SOUTH BEND","IN","46614","(574) 291-1899","ADULT","ADULT BUSINESS","2007-01-31T05:00:00.000Z","2006-03-13T05:00:00.000Z","2006","400","RN","Renewed","SB6","COUNCIL DISTRICT 6","2709 2715 S MAIN ST, SOUTH BEND, IN 46614","16906"
"2006-379","DAVE'S PUB","3013 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 237-9195","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","379","RN","Renewed","SB3","COUNCIL DISTRICT 3","3013 MISHAWAKA AVE, SOUTH BEND, IN 46615","16907"
"2006-373","CITY LIMITS LOUNGE","1807 S IRONWOOD DR","SOUTH BEND","IN","46614","(574) 288-3636","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-16T04:00:00.000Z","2006","373","RN","Renewed","SB3","COUNCIL DISTRICT 3","1807 S IRONWOOD DR, SOUTH BEND, IN 46614","16908"
"2006-350","BJ CHINESE BUFFET","4123 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 289-8893","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-15T05:00:00.000Z","2006","350","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","4123 W WESTERN AVE, SOUTH BEND, IN 46619","16910"
"2006-35","RUM VILLAGE INN","2209 KEMBLE AVE","SOUTH BEND","IN","46613","(574) 288-1773","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-01-26T05:00:00.000Z","2006","35","RN","Renewed","SB6","COUNCIL DISTRICT 6","2209 KEMBLE AVE, SOUTH BEND, IN 46613","16911"
"2006-546","KNIGHT INN","3233 LINCOLN WAY W","SOUTH BEND","IN","466281450","(574) 232-9019","HOTEL","HOTEL/MOTEL","2007-01-31T05:00:00.000Z","2006-02-08T05:00:00.000Z","2006","546","RN","Renewed","","","3233 LINCOLN WAY W, SOUTH BEND, IN 466281450","16912"
"2006-1529","DOUG HAULS TRASH","1726 LINCOLN WAY E","SOUTH BEND","IN","46613","(574) 256-3684","TRASH","RUBBISH & GARBAGE REMOVAL","2007-04-30T04:00:00.000Z","2006-11-01T05:00:00.000Z","2006","1529","IN","Incative and no longer licensed","","","1726 LINCOLN WAY E, SOUTH BEND, IN 46613","16913"
"2006-496","CLASSIC BOUTIQUE","1636 LINCOLN WAY W","SOUTH BEND","IN","46628","(574) 232-6360","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-06-14T04:00:00.000Z","2006","496","RN","Renewed","","","1636 LINCOLN WAY W, SOUTH BEND, IN 46628","16915"
"2006-343","SORIYA'S RESTAURANT","676 LAWNDALE AVE","SOUTH BEND","IN","46628","(574) 233-5772","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-02-17T05:00:00.000Z","2006","343","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","676 LAWNDALE AVE, SOUTH BEND, IN 46628","16916"
"2006-34","RHYTHM","1634 LINCOLN WAY W","SOUTH BEND","IN","466282616","(574) 232-6360","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-06-14T04:00:00.000Z","2006","34","RN","Renewed","","","1634 LINCOLN WAY W, SOUTH BEND, IN 466282616","16917"
"2006-332","ROSIE'S KAZBAR","2644 W WESTERN AVE","SOUTH BEND","IN","466193126","(574) 288-3725","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-02-15T05:00:00.000Z","2006","332","RN","Renewed","SB6","COUNCIL DISTRICT 6","2644 W WESTERN AVE, SOUTH BEND, IN 466193126","16918"
"2006-330","MANDARIN HOUSE RESTAURANT","2104 EDISON RD","SOUTH BEND","IN","46615","(572) 287-4414","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-14T05:00:00.000Z","2006","330","RN","Renewed","SB4","COUNCIL DISTRICT 4","2104 EDISON RD, SOUTH BEND, IN 46615","16919"
"2006-30","LOCOS MEXICAN RESTAURANT","3801 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 287-0020","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-02-06T05:00:00.000Z","2006","30","RN","Renewed","SB2","COUNCIL DISTRICT 2","3801 W WESTERN AVE, SOUTH BEND, IN 46619","16920"
